"index","title","local_file","local_exists","size_kb","playlist_url"
"1","경계 사이의 유목민들","album-001.jpg","Y","64.5","https://www.youtube.com/playlist?list=OLAK5uy_nmiIUjl_F9sDG93J5qr8SLVeXZ2PWc-4U"
"2","현의 사계 (Seasons in Strings)","album-002.jpg","Y","60.9","https://www.youtube.com/playlist?list=OLAK5uy_m_tpaIXJ-8XbgsikBca7ZqBDAk5m2c0jo"
"3","NEON EXODUS","album-003.jpg","Y","67.7","https://www.youtube.com/playlist?list=OLAK5uy_mxZizyZO7epmJZjtcTxZdxkpdESaLl718"
"4","Bamboo Whispers of Love","album-004.jpg","Y","67.7","https://www.youtube.com/playlist?list=OLAK5uy_m5s1MOjb6SEEItBJiAQltZtncnxyOcPE4"
"5","도시의밤, 우리의이야기","album-005.jpg","Y","60.3","https://www.youtube.com/playlist?list=OLAK5uy_m9ACXe0oh6u1yReURaRbbVHtdLpWXkOS4"
"6","절기 (스물네 개의 숨결)","album-006.jpg","Y","65","https://www.youtube.com/playlist?list=OLAK5uy_nnJ8KirZkoFkcEfML6aKN8yMdUU5mAAbk"
"7","World Piano Tales (건반 위의 세계 여행)","album-007.jpg","Y","74.7","https://www.youtube.com/playlist?list=OLAK5uy_lyVv-tM12hpLVwfeuCf4nvKO0UBJqWDVE"
"8","빛나는 날들 Vol.2 - 새로운 시작","album-008.jpg","Y","47.5","https://www.youtube.com/playlist?list=OLAK5uy_k5nqyShGF-7H92cvEWMqYhR6YOGQFBnOc"
"9","옛 소리를 찾아서","album-009.jpg","Y","64.8","https://www.youtube.com/playlist?list=OLAK5uy_nCoBPN6WySy1ghDKIZ7SWP3HFu_sV8D2g"
"10","자정의 고백","album-010.jpg","Y","67.8","https://www.youtube.com/playlist?list=OLAK5uy_mYraebYvYKY9wJdFBuvf4bYC3zne4euyU"
"11","청죽지음 (靑竹之音) - Voice of the Green Bamboo","album-011.jpg","Y","53.9","https://www.youtube.com/playlist?list=OLAK5uy_kgq8cZvsU2t4rAryac9Vfi4RFNoAyYviE"
"12","Midnight Confessions","album-012.jpg","Y","65.4","https://www.youtube.com/playlist?list=OLAK5uy_nf1XE-bDq13mOjbZZN4mzERzx-Sd2w5P4"
"13","A Festival of Brilliant Piano - 빛나는 건반의 향연","album-013.jpg","Y","72.3","https://www.youtube.com/playlist?list=OLAK5uy_noHjpHZJb2gx90u6t_HRKtXY0aAIsISRY"
"14","사랑의 사계절 (Four Seasons of Love)","album-014.jpg","Y","67.1","https://www.youtube.com/playlist?list=OLAK5uy_l_RIlD9BUthX1Tc3oQxAkZxxW5bniEd5k"
"15","추억의 온도 (Temperature of Memories)","album-015.jpg","Y","66.9","https://www.youtube.com/playlist?list=OLAK5uy_kUsmqW1IO04VcjlU_8yCRCSa-WF1xcJQo"
"16","출퇴근 사이 (Between 9 to 6)","album-016.jpg","Y","51.8","https://www.youtube.com/playlist?list=OLAK5uy_lXw15cu148dvElUap0efKcuoDxI0k8VX8"
"17","도파민 인생 (Dopamine Life)","album-017.jpg","Y","79.7","https://www.youtube.com/playlist?list=OLAK5uy_lbSQrfM0e3RAOV4J5mE9TwgXfZlU1mwoc"
"18","Wanderlust Diaries (방랑자의 일기)","album-018.jpg","Y","58.2","https://www.youtube.com/playlist?list=OLAK5uy_koiYqBJD9GJwPfKAu22TN-Ta5qjk6f0C0"
"19","1954 서울의 밤","album-019.jpg","Y","55.2","https://www.youtube.com/playlist?list=OLAK5uy_l4DTEKRhsUWEXtaXC--L7ehLjNVZHBHSM"
"20","고요한 은혜","album-020.jpg","Y","45.2","https://www.youtube.com/playlist?list=OLAK5uy_lnCqTRL1dkhEduGoSjDKOIcDbu8euFgaA"
"21","끝나지 않을 사랑의 밤","album-021.jpg","Y","65.8","https://www.youtube.com/playlist?list=OLAK5uy_lsCidGWFn2RTY9aY0BnzeNsw9v6h-VpiI"
"22","CRIMSON_REBELLION","album-022.jpg","Y","72.4","https://www.youtube.com/playlist?list=OLAK5uy_kdnq_7bIb8QXRKq9CRy11Vjpwjtd9jtIk"
"23","A Little Universe in My Drawer","album-023.jpg","Y","66.6","https://www.youtube.com/playlist?list=OLAK5uy_mDKSLqeK5KNZmVehu_LFqpcFIaEr20KZE"
"24","Nomads Between Borders","album-024.jpg","Y","70.6","https://www.youtube.com/playlist?list=OLAK5uy_kAaedu-LACm5n4XwSHZLz_j0IMXk_m1oc"
"25","서랍 속 작은 우주","album-025.jpg","Y","65.3","https://www.youtube.com/playlist?list=OLAK5uy_muImuoiKfSx2uoKSlfI28Y5yLlYIshUlA"
"26","우리의 내일","album-026.jpg","Y","57.8","https://www.youtube.com/playlist?list=OLAK5uy_mGKJPv0DHsDzKtC9JDXx7WOwbkArvdfCU"
"27","Logic Flow","album-027.jpg","Y","45.7","https://www.youtube.com/playlist?list=OLAK5uy_m-TlyrTpvp2K_Ows0NCw2HkRJmvW0L37E"
"28","ULTRA MEMORY PALACE","album-028.jpg","Y","52.8","https://www.youtube.com/playlist?list=OLAK5uy_lsSLi8jJhHAGWXVW-zV5oBNuWUUoDE7NY"
"29","READING ROOM","album-029.jpg","Y","48.9","https://www.youtube.com/playlist?list=OLAK5uy_n_TQC2dRbj-Aya-jBV5r6lnNqPlUhVFxs"
"30","ULTRA DEEP","album-030.jpg","Y","37.9","https://www.youtube.com/playlist?list=OLAK5uy_kVp_11pjYSgDHJvvhTJN5E-YtNvsf3nq0"
"31","Between the Grooves","album-031.jpg","Y","47.2","https://youtube.com/playlist?list=OLAK5uy_l-rm8XeSapM9umXOuy4mFnHp1lIuoUZFc&si=zXoLsP04d618ez6d"
"32","그 여름과 내일 사이","album-032.jpg","Y","54.6","https://youtube.com/playlist?list=OLAK5uy_n09ogQ8PUT5-TmaLuxbsN2wWhIHnV5I7w&si=lffhjDWZCZPwG9q4"
"33","Four Seasons of Love","album-033.jpg","Y","62","https://youtube.com/playlist?list=OLAK5uy_nZcs6oJJoej7TN9J-yn_EGERvjz88ejGw&si=DXY82dakz7lpj3V3"
"34","작은 방, 긴 밤","album-034.jpg","Y","46.1","https://youtube.com/playlist?list=OLAK5uy_nsug4IODpdOEYNbbM0j54X6VFTUOPuuW8&si=r7Dee9lXQEXOwK9R"
"35","비 오는 골목의 블루스(Rainy Alley Blues)","album-035.jpg","Y","63.2","https://youtube.com/playlist?list=OLAK5uy_lPq7oNOtArWjr_pJo9LZk4Hcg-3-SsXl8&si=7uz6dWe0_0EQhN3Q"
"36","엔딩 크레딧 그 후","album-036.jpg","Y","53.8","https://youtube.com/playlist?list=OLAK5uy_k87dRERhY7qkufs8iQY5NMf9nZm3OA4_U&si=ae7O3eHRwR-TD_cD"
"37","속 터지는 사랑(아빠의 육아 트로트)","album-037.jpg","Y","61.7","https://youtube.com/playlist?list=OLAK5uy_lMJ4hGkaM-xA9KswHes-E88Sn9jCVE6ME&si=fh06n8C63TnaTqqu"
"38","럽스타그램 (Love-stagram)","album-038.jpg","Y","59","https://youtube.com/playlist?list=OLAK5uy_lAfZwYc1yc5m8yMnC5jS1CFcr1G1qzRzc&si=Jtdx8ah59qJHbhcR"
"39","오늘도 출근합니다","album-039.jpg","Y","52.6","https://youtube.com/playlist?list=OLAK5uy_lLL6l5YOaXvIFuU5guheUU3rVMuprPrYQ&si=IRoLQuZf3GptcdJp"
"40","별빛에서 세상 한가운데까지","album-040.jpg","Y","45.6","https://youtube.com/playlist?list=OLAK5uy_mq0GsNJUlgzDNKkfkXF_f9e4v6iC-vs8U&si=Y2WQBfTMKQZlXJFR"
"41","Blossoms of Love","album-041.jpg","Y","50.5","https://youtube.com/playlist?list=OLAK5uy_ko4ODebwBNnA_kzXEIFNnlkm3YPgmts2M&si=gpdYDpWjeKdVXoh1"
"42","빛나는 날들(Shining Days)","album-042.jpg","Y","41.8","https://youtube.com/playlist?list=OLAK5uy_nbULNn2T95CK9RAFfNXugUEF1Kya9L3iw&si=adwy8RlwaFyGiqBV"
"43","미드나잇 시티","album-043.jpg","Y","45.9","https://youtube.com/playlist?list=OLAK5uy_nA1C44udWT799HFV3jTLMSQ9rYw2ahkRY&si=If_QZLjja_8_c-Jl"
"44","Four Seasons of Serenity(고요한 사계)","album-044.jpg","Y","46.5","https://youtube.com/playlist?list=OLAK5uy_k5WK3-mq_SF_wLYs46_g8pxWzQIjlKRGc&si=tmGdAE-65MLCUMng"
"45","The Last Page (A Jazz Novel in Sound)","album-045.jpg","Y","49.9","https://youtube.com/playlist?list=OLAK5uy_lW54833gTsE65a_DfuIYc64WjJR3QqHRM&si=yxR5khGLoVtSeVx2"
"46","A Velvet Winter (Jazz Carols for Christmas)","album-046.jpg","Y","62.3","https://youtube.com/playlist?list=OLAK5uy_mDc4aJkXIY7AyvOu6L6wQPOZFDUayipxg&si=zamPsciHbr0RBBZ0"
"47","세월이 우는 밤","album-047.jpg","Y","54.6","https://youtube.com/playlist?list=OLAK5uy_nCrHERmJiBF9YBT_hsLv-PcXguav2EjrI&si=-WfqdvzGIjH5sNvS"
"48","겨울을 지나, 봄이 와 준 그날에","album-048.jpg","Y","53.5","https://youtube.com/playlist?list=OLAK5uy_mBRCJX2ROifHxdQRJD2EpSA9IGV37GTYs&si=88SYF2758WGCOKbU"
"49","Echoes of Grace","album-049.jpg","Y","66.8","https://youtube.com/playlist?list=OLAK5uy_mKEZ0dx_qdfD7jshKcEkSxMZkedqKjD5w&si=HkrvCB9bOQLnGLKo"
"50","After the Café Closes","album-050.jpg","Y","51.8","https://youtube.com/playlist?list=OLAK5uy_nbE_yvbeu4Rxmeegmn-vE-sxv6KHaIKqM&si=KhI4oEfcO04OzbKR"
"51","출퇴근 사이","album-051.jpg","Y","40","https://youtube.com/playlist?list=OLAK5uy_nR5EANaktsCYvdR6vM6QwSQuTo21Vbtwk&si=ahDYztqjxOQ0aA64"
"52","따라오는 은혜 (Grace That Follows)","album-052.jpg","Y","47","https://youtube.com/playlist?list=OLAK5uy_mBnX_AVOd7epD7AJ3TeTVp_Jko4XvFgPc&si=3wLWbXBDeqH9Xua3"
"53","그때 그 시절 사운드","album-053.jpg","Y","57.2","https://youtube.com/playlist?list=OLAK5uy_n2bShsfEsSjBZfYi28XXR-gXHZxx0biOw&si=s7P8HaGDf208Dc2A"
"54","도파민 15초","album-054.jpg","Y","69","https://youtube.com/playlist?list=OLAK5uy_mwlylCzLhECy1m1HY0_xBaWdgyTWYS-jU&si=nPOzon7yOp4AA8WX"
"55","새벽의 일곱 기병(Seven Riders At Dawn)","album-055.jpg","Y","56.6","https://youtube.com/playlist?list=OLAK5uy_kDIxFLi7zapN_kJukmdd4rrII7GL73-2w&si=bN2AIJwPwvKRHNWB"
